timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1612006766595,870,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-48,text,true,,1058244,124,400,400,https://www.zalando.at/herren-home/,111,0,59
1612006766951,675,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,973920,124,400,400,https://www.zalando.at/herren-home/,113,0,58
1612006767272,735,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-10,text,true,,1019605,124,400,400,https://www.zalando.at/herren-home/,111,0,47
1612006768218,271,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-29,text,true,,422607,127,400,400,https://www.zalando.at/herren/?q=jeans,210,0,0
1612006768011,719,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-54,text,true,,947992,124,400,400,https://www.zalando.at/herren-home/,100,0,51
1612006768492,618,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-57,text,true,,984131,124,400,400,https://www.zalando.at/herren-home/,134,0,59
1612006768492,884,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-29,text,true,,1010990,124,400,400,https://www.zalando.at/herren-home/,111,0,58
1612006769640,247,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,422579,127,400,400,https://www.zalando.at/herren/?q=jeans,188,0,0
1612006770015,262,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-10,text,true,,419606,127,400,400,https://www.zalando.at/herren/?q=jeans,203,0,0
1612006769889,750,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,999413,124,400,400,https://www.zalando.at/herren-home/,122,0,53
1612006769890,892,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-63,text,true,,970457,124,400,400,https://www.zalando.at/herren-home/,117,0,49
1612006770285,660,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-10,text,true,,1038412,124,400,400,https://www.zalando.at/herren-home/,106,0,60
1612006770641,692,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-67,text,true,,1036981,124,400,400,https://www.zalando.at/herren-home/,123,0,50
1612006771126,276,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-57,text,true,,419590,127,400,400,https://www.zalando.at/herren/?q=jeans,211,0,0
1612006772657,303,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-22,text,true,,422571,127,400,400,https://www.zalando.at/herren/?q=jeans,244,0,0
1612006772953,297,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-10,text,true,,422583,127,400,400,https://www.zalando.at/herren/?q=jeans,267,0,0
1612006772659,988,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,981940,124,400,400,https://www.zalando.at/herren-home/,120,0,65
1612006772659,1005,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-74,text,true,,1007793,124,400,400,https://www.zalando.at/herren-home/,117,0,69
1612006772659,1390,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-72,text,true,,1030369,124,400,400,https://www.zalando.at/herren-home/,119,0,69
1612006773252,860,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-10,text,true,,949299,124,400,400,https://www.zalando.at/herren-home/,178,0,94
1612006773254,1090,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-77,text,true,,972060,124,400,400,https://www.zalando.at/herren-home/,169,0,99
1612006773648,842,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-79,text,true,,936724,124,400,400,https://www.zalando.at/herren-home/,114,0,68
1612006775656,325,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,422582,127,400,400,https://www.zalando.at/herren/?q=jeans,193,0,0
1612006775659,1051,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-81,text,true,,980047,124,400,400,https://www.zalando.at/herren-home/,108,0,59
1612006776062,706,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-72,text,true,,422547,127,400,400,https://www.zalando.at/herren/?q=jeans,273,0,0
1612006775659,1168,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-82,text,true,,1003272,124,400,400,https://www.zalando.at/herren-home/,135,0,72
1612006776359,519,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-77,text,true,,422595,127,400,400,https://www.zalando.at/herren/?q=jeans,358,0,0
1612006775659,1220,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-83,text,true,,998396,124,400,400,https://www.zalando.at/herren-home/,112,0,64
1612006775982,1338,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,971340,124,400,400,https://www.zalando.at/herren-home/,99,0,55
1612006775982,1385,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-85,text,true,,987424,124,400,400,https://www.zalando.at/herren-home/,94,0,51
1612006776770,799,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-72,text,true,,951099,124,400,400,https://www.zalando.at/herren-home/,181,0,130
1612006776360,1295,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-88,text,true,,1041047,124,400,400,https://www.zalando.at/herren-home/,305,0,185
1612006777322,720,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,1019081,124,400,400,https://www.zalando.at/herren-home/,138,0,74
1612006778719,305,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-81,text,true,,422571,127,400,400,https://www.zalando.at/herren/?q=jeans,219,0,0
1612006778721,878,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-97,text,true,,1035788,124,400,400,https://www.zalando.at/herren-home/,102,0,62
1612006779328,555,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,422547,127,400,400,https://www.zalando.at/herren/?q=jeans,279,0,0
1612006778721,1185,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-99,text,true,,916510,124,400,400,https://www.zalando.at/herren-home/,118,0,71
1612006779375,553,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-85,text,true,,419557,127,400,400,https://www.zalando.at/herren/?q=jeans,275,0,0
1612006779578,405,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-72,text,true,,422555,127,400,400,https://www.zalando.at/herren/?q=jeans,243,0,0
1612006778721,1293,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-98,text,true,,980144,124,400,400,https://www.zalando.at/herren-home/,117,0,63
1612006780046,276,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,422585,127,400,400,https://www.zalando.at/herren/?q=jeans,200,0,0
1612006779027,1378,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-81,text,true,,958160,124,400,400,https://www.zalando.at/herren-home/,109,0,63
1612006779885,767,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,958735,124,400,400,https://www.zalando.at/herren-home/,182,0,136
1612006779884,880,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,972092,124,400,400,https://www.zalando.at/herren-home/,197,0,135
1612006780324,726,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,971946,124,400,400,https://www.zalando.at/herren-home/,134,0,86
1612006782015,376,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-98,text,true,,422571,127,400,400,https://www.zalando.at/herren/?q=jeans,228,0,0
1612006782655,266,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,419602,127,400,400,https://www.zalando.at/herren/?q=jeans,223,0,0
1612006782394,712,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-98,text,true,,956164,124,400,400,https://www.zalando.at/herren-home/,94,0,50
1612006782780,464,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,422571,127,400,400,https://www.zalando.at/herren/?q=jeans,357,0,0
1612006782395,989,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-115,text,true,,997776,124,400,400,https://www.zalando.at/herren-home/,120,0,50
1612006783061,453,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,419614,127,400,400,https://www.zalando.at/herren/?q=jeans,365,0,0
1612006782657,908,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-117,text,true,,944440,124,400,400,https://www.zalando.at/herren-home/,132,0,64
1612006782923,793,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,1059109,124,400,400,https://www.zalando.at/herren-home/,147,0,65
1612006783245,723,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,1068943,124,400,400,https://www.zalando.at/herren-home/,149,0,69
1612006783515,720,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,1052805,124,400,400,https://www.zalando.at/herren-home/,122,0,68
1612006783971,765,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,1052937,124,400,400,https://www.zalando.at/herren-home/,126,0,65
1612006784237,672,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-124,text,true,,1026730,124,400,400,https://www.zalando.at/herren-home/,121,0,55
1612006784740,851,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,1008359,124,400,400,https://www.zalando.at/herren-home/,226,0,71
1612006784739,970,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-126,text,true,,1015435,124,400,400,https://www.zalando.at/herren-home/,147,0,68
1612006785389,424,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-115,text,true,,422570,127,400,400,https://www.zalando.at/herren/?q=jeans,238,0,0
1612006784739,1112,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-128,text,true,,940197,124,400,400,https://www.zalando.at/herren-home/,140,0,63
1612006785717,420,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,419606,127,400,400,https://www.zalando.at/herren/?q=jeans,396,0,0
1612006785984,331,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,419605,127,400,400,https://www.zalando.at/herren/?q=jeans,218,0,0
1612006785391,965,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-131,text,true,,987070,124,400,400,https://www.zalando.at/herren-home/,220,0,148
1612006786249,286,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,419620,127,400,400,https://www.zalando.at/herren/?q=jeans,210,0,0
1612006785391,1406,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-132,text,true,,1063678,124,400,400,https://www.zalando.at/herren-home/,220,0,151
1612006785592,1442,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-134,text,true,,973026,124,400,400,https://www.zalando.at/herren-home/,273,0,117
1612006786749,428,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,419618,127,400,400,https://www.zalando.at/herren/?q=jeans,287,0,0
1612006786140,1189,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,969390,124,400,400,https://www.zalando.at/herren-home/,221,0,155
1612006786316,1014,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-73,text,true,,903128,124,400,400,https://www.zalando.at/herren-home/,234,0,115
1612006786921,438,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-124,text,true,,419594,127,400,400,https://www.zalando.at/herren/?q=jeans,324,0,0
1612006786536,1004,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,968335,124,400,400,https://www.zalando.at/herren-home/,171,0,72
1612006786750,986,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-142,text,true,,1016694,124,400,400,https://www.zalando.at/herren-home/,161,0,80
1612006787593,372,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,419614,127,400,400,https://www.zalando.at/herren/?q=jeans,256,0,0
1612006787179,937,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,1004565,124,400,400,https://www.zalando.at/herren-home/,233,0,190
1612006787966,720,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,981183,124,400,400,https://www.zalando.at/herren-home/,147,0,61
1612006788689,839,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-156,text,true,,1063827,124,400,400,https://www.zalando.at/herren-home/,132,0,70
1612006789046,623,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-134,text,true,,419570,127,400,400,https://www.zalando.at/herren/?q=jeans,297,0,0
1612006789343,444,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-105,text,true,,419564,127,400,400,https://www.zalando.at/herren/?q=jeans,266,0,0
1612006788688,1118,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-154,text,true,,987002,124,400,400,https://www.zalando.at/herren-home/,105,0,65
1612006789546,409,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,419642,127,400,400,https://www.zalando.at/herren/?q=jeans,252,0,0
1612006788689,1435,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-155,text,true,,988484,124,400,400,https://www.zalando.at/herren-home/,154,0,69
1612006788689,1456,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-153,text,true,,1006822,124,400,400,https://www.zalando.at/herren-home/,138,0,77
1612006789749,432,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-142,text,true,,419618,127,400,400,https://www.zalando.at/herren/?q=jeans,270,0,0
1612006789345,989,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-159,text,true,,1045232,124,400,400,https://www.zalando.at/herren-home/,344,0,215
1612006790124,360,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,422555,127,400,400,https://www.zalando.at/herren/?q=jeans,272,0,0
1612006789956,863,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,956967,124,400,400,https://www.zalando.at/herren-home/,229,0,87
1612006790703,323,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,419618,127,400,400,https://www.zalando.at/herren/?q=jeans,262,0,0
1612006790486,753,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,947050,124,400,400,https://www.zalando.at/herren-home/,139,0,57
1612006790704,758,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-167,text,true,,1018068,124,400,400,https://www.zalando.at/herren-home/,156,0,105
1612006791027,718,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,991887,124,400,400,https://www.zalando.at/herren-home/,110,0,61
1612006791529,284,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-156,text,true,,422595,127,400,400,https://www.zalando.at/herren/?q=jeans,218,0,0
1612006791464,706,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-172,text,true,,923023,124,400,400,https://www.zalando.at/herren-home/,95,0,52
1612006791811,382,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-154,text,true,,422585,127,400,400,https://www.zalando.at/herren/?q=jeans,221,0,0
1612006792155,356,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-153,text,true,,419558,127,400,400,https://www.zalando.at/herren/?q=jeans,230,0,0
1612006792342,262,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-159,text,true,,419594,127,400,400,https://www.zalando.at/herren/?q=jeans,201,0,0
1612006792156,722,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-177,text,true,,915904,124,400,400,https://www.zalando.at/herren-home/,118,0,69
1612006792827,356,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-92,text,true,,419598,127,400,400,https://www.zalando.at/herren/?q=jeans,282,0,0
1612006792514,846,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-180,text,true,,1026232,124,400,400,https://www.zalando.at/herren-home/,201,0,63
1612006793248,315,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-122,text,true,,419593,127,400,400,https://www.zalando.at/herren/?q=jeans,236,0,0
1612006793467,360,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-167,text,true,,422571,127,400,400,https://www.zalando.at/herren/?q=jeans,223,0,0
1612006792513,1459,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-153,text,true,,960354,124,400,400,https://www.zalando.at/herren-home/,200,0,72
1612006793748,445,Search for jeans,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-127,text,true,,422739,127,400,400,https://www.zalando.at/herren/?q=jeans,314,0,0
1612006792828,1390,Zalando Home Page,200,OK,ThreadsWithTransactionControl-ThreadStarter 1-182,text,true,,1000648,124,400,400,https://www.zalando.at/herren-home/,141,0,79
